sprite{ id = "entities/door_boss_key", description = "Door (boss key)" }
sprite{ id = "entities/door_weak_wall", description = "Door (weak wall)" }
sprite{ id = "entities/door_very_weak_wall", description = "Door (very weak wall)" }
sprite{ id = "entities/door_weak_block", description = "Door (weak block)" }
sprite{ id = "entities/frozen_door", description = "Frozen door" }
sprite{ id = "npc/ganon", description = "Ganon" }
sprite{ id = "npc/great_fairy", description = "Great Fairy" }
sprite{ id = "entities/bed", description = "Hero's bed" }
sprite{ id = "entities/hint_stone", description = "Hint stone" }
sprite{ id = "npc/inferno", description = "Inferno" }
sprite{ id = "entities/fresco", description = "Intro fresco" }
sprite{ id = "npc/monkey", description = "Monkey" }
sprite{ id = "entities/outside_door", description = "Outside closed door" }
sprite{ id = "npc/sahasrahla", description = "Sahasrahla" }
sprite{ id = "entities/sign", description = "Sign" }
sprite{ id = "entities/snores", description = "Snoring (zzz)" }
sprite{ id = "entities/somaria_block", description = "Somaria block" }
sprite{ id = "entities/statue", description = "Statue" }
sprite{ id = "entities/teletransporter", description = "Teletransporter (yellow)" }
sprite{ id = "entities/the_end", description = "The end" }
sprite{ id = "npc/thief", description = "Thief" }
sprite{ id = "npc/tom", description = "Tom" }
sprite{ id = "entities/torch", description = "Torch" }
sprite{ id = "entities/vine", description = "Vine" }
sprite{ id = "npc/witch", description = "Witch" }
sprite{ id = "npc/wizard", description = "Wizard" }
sprite{ id = "npc/zelda", description = "Zelda" }
sprite{ id = "npc/newlink1", description = "Newlink NPC 1" }
sprite{ id = "npc/newlink2", description = "Newlink NPC 2" }
sprite{ id = "npc/newlink3", description = "Newlink NPC 3" }
sprite{ id = "npc/newlink4", description = "Newlink NPC 4" }
sprite{ id = "npc/newlink5", description = "Newlink NPC 5" }
sprite{ id = "npc/newlink6", description = "Newlink NPC 6" }
sprite{ id = "npc/newlink7", description = "Newlink NPC 7" }
sprite{ id = "npc/newlink8", description = "Newlink NPC 8" }
sprite{ id = "npc/villager1", description = "ALTTP villager 1" }
sprite{ id = "npc/villager2", description = "ALTTP villager 2" }
sprite{ id = "npc/villager3", description = "ALTTP villager 3" }
sprite{ id = "npc/static_villager1", description = "ALTTP static villager 1" }
sprite{ id = "npc/static_villager2", description = "ALTTP static villager 2" }
sprite{ id = "npc/static_villager3", description = "ALTTP static villager 3" }
sprite{ id = "npc/static_villager4", description = "ALTTP static villager 4" }
sprite{ id = "npc/static_villager5", description = "ALTTP static villager 5" }
sprite{ id = "npc/static_villager6", description = "ALTTP static villager 6" }
sprite{ id = "npc/static_villager7", description = "ALTTP static villager 7" }
sprite{ id = "npc/static_villager8", description = "ALTTP static villager 8" }
sprite{ id = "npc/static_villager9", description = "ALTTP static villager 9" }
sprite{ id = "npc/static_villager10", description = "ALTTP static villager 10" }
sprite{ id = "npc/static_villager11", description = "ALTTP static villager 11" }
sprite{ id = "npc/static_villager12", description = "ALTTP static villager 12" }
sprite{ id = "npc/static_villager13", description = "ALTTP static villager 13" }
sprite{ id = "npc/static_villager14", description = "ALTTP static villager 14" }
sprite{ id = "npc/solarus_child1", description = "Solarus Child 1" }
sprite{ id = "npc/solarus_child2", description = "Solarus Child 2" }
sprite{ id = "npc/solarus_child3", description = "Solarus Child 3" }
sprite{ id = "npc/solarus_child4", description = "Solarus Child 4" }

music{ id = "agahnim", description = "Agahnim theme" }
music{ id = "beginning", description = "Beginning" }
music{ id = "boss", description = "Boss" }
music{ id = "castle", description = "Castle" }
music{ id = "cave", description = "Cave" }
music{ id = "credits", description = "Credits" }
music{ id = "dark_mountain", description = "Dark Mountain" }
music{ id = "dark_world", description = "Dark World" }
music{ id = "light_world_dungeon", description = "Dungeon (light world)" }
music{ id = "dark_world_dungeon", description = "Dungeon (dark world)" }
music{ id = "tloz_dungeon", description = "Dungeon (old school)" }
music{ id = "dungeon_finished", description = "Dungeon finished" }
music{ id = "eagle_tower", description = "Eagle's Tower" }
music{ id = "excalibur", description = "Excalibur" }
music{ id = "fanfare", description = "Fanfare" }
music{ id = "fortune_teller", description = "Fortune Teller" }
music{ id = "ganon_appears", description = "Ganon appears" }
music{ id = "ganon_battle", description = "Ganon battle" }
music{ id = "ganon_theme", description = "Ganon theme" }
music{ id = "great_fairy", description = "Great Fairy" }
music{ id = "village", description = "Kakariko Village" }
music{ id = "legend", description = "Legend" }
music{ id = "lost_woods", description = "Lost Woods" }
music{ id = "mini_game", description = "Mini game" }
music{ id = "la_mountains", description = "Mountains (LA)" }
music{ id = "overworld", description = "Overworld" }
music{ id = "sanctuary", description = "Sanctuary" }
music{ id = "game_over", description = "Selection menu & Game Over" }
music{ id = "soldiers", description = "Soldiers" }
music{ id = "southern_shrine", description = "Southern Shrine (LA)" }
music{ id = "rabbit", description = "Turned into a rabbit" }
music{ id = "title_screen", description = "Title screen" }
music{ id = "triforce", description = "Triforce" }
music{ id = "victory", description = "Victory" }
music{ id = "witch_hut", description = "Witch (LA)" }
music{ id = "zelda", description = "Zelda theme" }

sound{ id = "arrow_hit", description = "arrow_hit" }
sound{ id = "bomb", description = "bomb" }
sound{ id = "boomerang", description = "boomerang" }
sound{ id = "boss_charge", description = "boss_charge" }
sound{ id = "boss_fireball", description = "boss_fireball" }
sound{ id = "boss_hurt", description = "boss_hurt" }
sound{ id = "boss_killed", description = "boss_killed" }
sound{ id = "bounce", description = "bounce" }
sound{ id = "bow", description = "bow" }
sound{ id = "bush", description = "bush" }
sound{ id = "cane", description = "cane" }
sound{ id = "chest_appears", description = "chest_appears" }
sound{ id = "chest_open", description = "chest_open" }
sound{ id = "cursor", description = "cursor" }
sound{ id = "danger", description = "danger" }
sound{ id = "door_closed", description = "door_closed" }
sound{ id = "door_open", description = "door_open" }
sound{ id = "door_unlocked", description = "door_unlocked" }
sound{ id = "enemy_awake", description = "enemy_awake" }
sound{ id = "enemy_hurt", description = "enemy_hurt" }
sound{ id = "enemy_killed", description = "enemy_killed" }
sound{ id = "explosion", description = "explosion" }
sound{ id = "external_stairs_down", description = "external_stairs_down" }
sound{ id = "external_stairs_up", description = "external_stairs_up" }
sound{ id = "heart_container", description = "heart_container" }
sound{ id = "heart", description = "heart" }
sound{ id = "hero_dying", description = "hero_dying" }
sound{ id = "hero_falls", description = "hero_falls" }
sound{ id = "hero_hurt", description = "hero_hurt" }
sound{ id = "hero_lands", description = "hero_lands" }
sound{ id = "hero_pushes", description = "hero_pushes" }
sound{ id = "hero_seen", description = "hero_seen" }
sound{ id = "hookshot", description = "hookshot" }
sound{ id = "ice", description = "ice" }
sound{ id = "internal_stairs_down", description = "internal_stairs_down" }
sound{ id = "internal_stairs_up", description = "internal_stairs_up" }
sound{ id = "intro", description = "intro" }
sound{ id = "item_in_water", description = "item_in_water" }
sound{ id = "jump", description = "jump" }
sound{ id = "lamp", description = "lamp" }
sound{ id = "lift", description = "lift" }
sound{ id = "magic_bar", description = "magic_bar" }
sound{ id = "message_end", description = "message_end" }
sound{ id = "message_letter", description = "message_letter" }
sound{ id = "monkey", description = "monkey" }
sound{ id = "monster_hurt", description = "monster_hurt" }
sound{ id = "octorok", description = "octorok" }
sound{ id = "ok", description = "ok" }
sound{ id = "pause_closed", description = "pause_closed" }
sound{ id = "pause_open", description = "pause_open" }
sound{ id = "picked_item", description = "picked_item" }
sound{ id = "picked_rupee", description = "picked_rupee" }
sound{ id = "picked_small_key", description = "picked_small_key" }
sound{ id = "piece_of_heart", description = "piece_of_heart" }
sound{ id = "running", description = "running" }
sound{ id = "rupee_counter_end", description = "rupee_counter_end" }
sound{ id = "rupee_counter", description = "rupee_counter" }
sound{ id = "secret", description = "secret" }
sound{ id = "shield", description = "shield" }
sound{ id = "splash", description = "splash" }
sound{ id = "stairs_down_end", description = "stairs_down_end" }
sound{ id = "stairs_down_start", description = "stairs_down_start" }
sound{ id = "stairs_up_end", description = "stairs_up_end" }
sound{ id = "stairs_up_start", description = "stairs_up_start" }
sound{ id = "stone", description = "stone" }
sound{ id = "switch", description = "switch" }
sound{ id = "sword1", description = "sword1" }
sound{ id = "sword2", description = "sword2" }
sound{ id = "sword3", description = "sword3" }
sound{ id = "sword4", description = "sword4" }
sound{ id = "sword_spin_attack_load", description = "sword_spin_attack_load" }
sound{ id = "sword_spin_attack_release", description = "sword_spin_attack_release" }
sound{ id = "sword_tapping", description = "sword_tapping" }
sound{ id = "sword_tapping_weak_wall", description = "sword_tapping_weak_wall" }
sound{ id = "throw", description = "throw" }
sound{ id = "timer_hurry", description = "timer_hurry" }
sound{ id = "timer", description = "timer" }
sound{ id = "treasure", description = "treasure" }
sound{ id = "victory", description = "victory" }
sound{ id = "walk_on_grass", description = "walk_on_grass" }
sound{ id = "walk_on_water", description = "walk_on_water" }
sound{ id = "warp", description = "warp" }
sound{ id = "world_warp", description = "world_warp" }
sound{ id = "wrong", description = "wrong" }
sound{ id = "zora", description = "zora" }

item{ id = "random", description = "(Random)" }
item{ id = "feather", description = "Feather" }
item{ id = "bombs_counter", description = "Bombs counter" }
item{ id = "bomb", description = "Bombs (x1 / x3 / x8)" }
item{ id = "bomb_bag", description = "Bomb bag (small / large / huge)" }
item{ id = "bow", description = "Bow" }
item{ id = "arrow", description = "Arrows (x1 / x5 / x10)" }
item{ id = "quiver", description = "Quiver (small / large / huge)" }
item{ id = "boomerang", description = "Boomerang" }
item{ id = "lamp", description = "Lamp" }
item{ id = "hookshot", description = "Hookshot" }
item{ id = "bottle_1", description = "Bottle 1" }
item{ id = "bottle_2", description = "Bottle 2" }
item{ id = "bottle_3", description = "Bottle 3" }
item{ id = "bottle_4", description = "Bottle 4" }
item{ id = "pegasus_shoes", description = "Pegasus shoes" }
item{ id = "mystic_mirror", description = "Mystic mirror" }
item{ id = "cane_of_somaria", description = "Cane of Somaria" }
item{ id = "cane_of_stone", description = "Cane of Stone" }
item{ id = "apples_counter", description = "Apples counter" }
item{ id = "apple", description = "Apples (x3)" }
item{ id = "pains_au_chocolat_counter", description = "Pains au chocolat counter" }
item{ id = "pain_au_chocolat", description = "Pain au chocolat (x1)" }
item{ id = "croissants_counter", description = "Croissants counter" }
item{ id = "croissant", description = "Croissant (x1)" }
item{ id = "rock_key", description = "Rock key" }
item{ id = "bone_key", description = "Bone key" }
item{ id = "clay_key", description = "Clay key" }
item{ id = "level_4_way", description = "Apple pie / Gold bars / Edelweiss" }
item{ id = "flippers", description = "Flippers" }
item{ id = "magic_cape", description = "Magic cape" }
item{ id = "iron_key", description = "Iron key" }
item{ id = "stone_key", description = "Stone key" }
item{ id = "wooden_key", description = "Wooden key" }
item{ id = "ice_key", description = "Ice key" }
item{ id = "glove", description = "Iron glove / Golden glove" }
item{ id = "fire_stones_counter", description = "Fire stones counter" }
item{ id = "fire_stone", description = "Fire stone (x1)" }
item{ id = "tunic", description = "Tunic (green / blue / red)" }
item{ id = "sword", description = "Sword" }
item{ id = "shield", description = "Shield" }
item{ id = "world_map", description = "World map" }
item{ id = "rupee_bag", description = "Rupee bag (small / large / huge)" }
item{ id = "magic_bar", description = "Maximum of magic (none / half / full)" }
item{ id = "map", description = "Dungeon map" }
item{ id = "compass", description = "Dungeon compass" }
item{ id = "big_key", description = "Dungeon big key" }
item{ id = "boss_key", description = "Dungeon boss key" }
item{ id = "small_key", description = "Small key" }
item{ id = "rupee", description = "Rupees (x1 / x5 / x20 / x50 / x100 / x300)" }
item{ id = "magic_flask", description = "Magic flask (small / big)" }
item{ id = "heart", description = "Heart (x1)" }
item{ id = "heart_container", description = "Heart container" }
item{ id = "piece_of_heart", description = "Piece of heart" }
item{ id = "fairy", description = "Fairy" }
item{ id = "red_potion", description = "Red potion" }
item{ id = "green_potion", description = "Green potion" }
item{ id = "blue_potion", description = "Blue potion" }

enemy{ id = "bee_guard", description = "Bee Guard" }
enemy{ id = "bubble", description = "Bubble" }
enemy{ id = "blue_bullblin", description = "Bullblin (blue)" }
enemy{ id = "red_bullblin", description = "Bullblin (red)" }
enemy{ id = "blue_dogman", description = "Dogman (blue)" }
enemy{ id = "red_dogman", description = "Dogman (red)" }
enemy{ id = "green_duck_soldier", description = "Duck Soldier (green)" }
enemy{ id = "blue_duck_soldier", description = "Duck Soldier (blue)" }
enemy{ id = "red_duck_soldier", description = "Duck Soldier (red)" }
enemy{ id = "evil_tile", description = "Evil Tile" }
enemy{ id = "blue_flame", description = "Flame (blue)" }
enemy{ id = "fireball_simple", description = "Fireball (simple)" }
enemy{ id = "fireball_triple", description = "Fireball (triple)" }
enemy{ id = "globul", description = "Globul" }
enemy{ id = "gibdo", description = "Gibdo" }
enemy{ id = "blue_hardhat_beetle", description = "Hardhat Beetle (blue)" }
enemy{ id = "red_hardhat_beetle", description = "Hardhat Beetle (red)" }
enemy{ id = "red_helmasaur", description = "Helmasaur (red)" }
enemy{ id = "green_knight_soldier", description = "Knight Soldier (green)" }
enemy{ id = "blue_knight_soldier", description = "Knight Soldier (blue)" }
enemy{ id = "red_knight_soldier", description = "Knight Soldier (red)" }
enemy{ id = "laser", description = "Laser" }
enemy{ id = "lizalfos", description = "Lizalfos" }
enemy{ id = "mandible", description = "Mandible" }
enemy{ id = "blue_pig_soldier", description = "Pig Soldier (blue)" }
enemy{ id = "red_pig_soldier", description = "Pig Soldier (red)" }
enemy{ id = "pike_fixed", description = "Pike (never moving)" }
enemy{ id = "pike_auto", description = "Pike (always moving)" }
enemy{ id = "pike_detect", description = "Pike (moves near hero)" }
enemy{ id = "ropa", description = "Ropa" }
enemy{ id = "simple_green_soldier", description = "Simple Soldier (green)" }
enemy{ id = "snap_dragon", description = "Snap Dragon" }
enemy{ id = "skeletor", description = "Skeletor" }
enemy{ id = "tentacle", description = "Tentacle" }
enemy{ id = "khorneth", description = "Khorneth" }
enemy{ id = "papillosaur_king", description = "Papillosaur King" }
enemy{ id = "minillosaur_egg_thrown", description = "Minillosaur Egg (fixed)" }
enemy{ id = "minillosaur_egg_fixed", description = "Minillosaur Egg (thrown)" }
enemy{ id = "khotor", description = "Khotor" }
enemy{ id = "chain_and_ball", description = "Chain and ball" }
enemy{ id = "firebird", description = "Fire Bird" }
enemy{ id = "mowatulla", description = "Mowatulla" }
enemy{ id = "flora_gohma", description = "Flora Gohma" }
enemy{ id = "flora_gohma_eye", description = "Flora Gohma eye" }
enemy{ id = "drakomos", description = "Drakomos" }
enemy{ id = "drakomos_head", description = "Drakomos head" }
enemy{ id = "drakomos_lava_spawner", description = "Drakomos lava spawner" }
enemy{ id = "gelidrak", description = "Gelidrak" }
enemy{ id = "poutroxor", description = "Poutroxor" }
enemy{ id = "billy", description = "Billy" }
enemy{ id = "fire_bat", description = "Fire bat" }

language{ id = "fr", description = "Français" }

